,Device,frequency_component,operating_frequency_mhz,Algorithm,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
83,OrangePi5Ultra,GPU,400.0,FFT,,clvk→OPI,0.121933,1604492680904.4705,3.4480342741935486,0.00042043067615927414,5.126601339783553e-08,0.0007502528462680653,2973566651230.747,0.00589724921838445,2.984192038899083e-06,6.749961166953734e-10
84,OrangePi5Ultra,GPU,400.0,KMeans,,OpenCL→OPI,1706.8624,1731.53484625,4.0734375,6.952794669998438,11.867464190538914,1.266507551521821,1.3706699438436374,0.009716019846967749,0.015894126008201313,0.0287272382928179
85,OrangePi5Ultra,GPU,400.0,KMeans,,clvk→OPI,1845.57764075,1871.4133662499999,4.15859375,7.675004144998438,14.164817551507866,1.5971804274406949,1.7275048647800706,0.006929236820651157,0.011668812350654992,0.025916914431271462
86,OrangePi5Ultra,GPU,400.0,SPMV,,OpenCL→OPI,118.93418199999999,138.89101175,4.551870265151515,0.5413731626890862,0.06438838800025615,0.41602468886914507,0.42844512483893676,0.006613607708610673,0.0021173097909021866,0.0004680686551579522
87,OrangePi5Ultra,GPU,400.0,SPMV,,clvk→OPI,108.25870225,134.118042,4.55,0.4925847573799716,0.053346235461275954,2.3468316891808843,2.5733160650442057,0.010051567757633158,0.01120661933165993,0.0023819496494712597
88,OrangePi5Ultra,GPU,400.0,SRAD,,OpenCL→OPI,38.46682875,57.612795,3.7295384615384615,0.14346353996703848,0.005518588731553006,0.012483673908352273,0.034513020383619225,0.008095095551759348,0.0003283466161948562,1.3491493117674073e-05
89,OrangePi5Ultra,GPU,400.0,SRAD,,clvk→OPI,36.566218,54.21810025,3.696,0.13514823469700002,0.004941878024138505,0.11500565378276109,0.14960459401006557,0.011775681155103756,0.0004287074822810109,2.6974685396479334e-05
90,OrangePi5Ultra,GPU,500.0,BFS,,OpenCL→OPI,847.445865,898.0511415,3.826191322901849,3.242484393255921,2.747865243979702,3.7330671277415792,3.73060568471242,0.0027682738554597602,0.012694277704525818,0.0227789859409595
91,OrangePi5Ultra,GPU,500.0,BFS,,clvk→OPI,831.2865762499999,875.57339025,3.8552631578947367,3.204803667803289,2.664134991949694,3.95824070295078,3.934434569597578,0.008859214858212009,0.00866628192311679,0.01970265143085893
92,OrangePi5Ultra,GPU,500.0,FFT,,OpenCL→OPI,0.11464175,0.4677265,3.6631923076923076,0.00041995485946153845,4.81444445840043e-08,0.00016536903176430991,0.004488143677141671,0.012494337968148958,1.583590753933359e-06,2.2046220920102927e-10
93,OrangePi5Ultra,GPU,500.0,FFT,,clvk→OPI,0.09893974999999999,6585310451073.489,3.641153846153846,0.00036025543030769234,3.564672816395646e-08,0.0010638773033892009,3152281741094.697,0.004722684356858567,3.969905807846937e-06,7.709983570928277e-10
94,OrangePi5Ultra,GPU,500.0,KMeans,,OpenCL→OPI,1475.45498175,1499.9693365,4.364423076923077,6.439510035646154,9.501210072291412,0.8772190174124584,1.11012789851418,0.00576923076923107,0.009573411426335223,0.01747028257872142
95,OrangePi5Ultra,GPU,500.0,KMeans,,clvk→OPI,1581.334679,1606.3055065,4.460576923076923,7.053649757946154,11.154178710016453,2.5541952705808915,1.8107561310792253,0.008528291471570667,0.00503537669837868,0.017905287226521995
96,OrangePi5Ultra,GPU,500.0,SPMV,,OpenCL→OPI,112.35329325000001,132.07792725000002,4.642592592592592,0.5216117067212963,0.05860704322899238,0.7807101708493196,0.7641158000715039,0.0037037037037036167,0.003859415103321415,0.0008390952603447955
97,OrangePi5Ultra,GPU,500.0,SPMV,,clvk→OPI,102.4857245,127.999989,4.650925925925926,0.4766466972824074,0.048855587750291446,1.396566837840685,1.5910484472961048,0.010199204717196651,0.005884154366874284,0.0012659269721566645
