Banks,algorithm_family,dev_backend,frequency_component,operating_frequency_mhz,mflops_per_w,throughput,run_power_w,mflops_per_w_std,throughput_std,run_power_w_std
4,OLA,RPi_clfft,GPU,500.0,394.4873717555474,179091.52042983985,3.78859649122807,2.092603189200165,412.1538157287104,0.018657628731432313
4,OLA,RPi_clfft,GPU,550.0,428.0891945212843,193627.5824661794,3.7754385964912274,7.753000155715889,385.27863703661654,0.06152869444473764
4,OLA,RPi_clfft,GPU,600.0,453.95503450693997,206955.81274992475,3.8045546558704455,2.5433360813968697,412.20942896020557,0.022244283379350766
4,OLA,RPi_clfft,GPU,650.0,474.29057543683075,219556.68993293316,3.864035087719298,8.168396051288166,574.2953447304834,0.06945906278887426
4,OLA,RPi_clfft,GPU,700.0,488.3472307164614,230466.52495667242,3.9384615384615382,4.118327294446544,919.4088147424052,0.028781979898261253
4,OLA,RPi_clfft,GPU,750.0,511.63042007961644,242559.64275685113,3.956410256410256,3.2117388195245544,492.2988775434449,0.02044861747423261
4,OLA,RPi_clfft,GPU,800.0,535.3207421593365,253025.58278045422,3.9448717948717946,6.9206399683025825,694.5974742992407,0.04702175416646542
4,OLA,RPi_clfft,GPU,850.0,548.9615242336786,263603.6416999579,4.007692307692308,7.117468609243912,567.4955142173662,0.04937478934117294
4,OLA,RPi_clfft,GPU,900.0,561.4493956154588,273739.66118124686,4.069230769230769,7.140889815809997,621.8257823873216,0.05148677086363516
4,OLA,RPi_clfft,GPU,960.0,590.4077304273036,284580.99199583,4.023076923076923,8.494087356594479,494.5504494662021,0.05958435917242186
4,OLA,RPi_fftw,CPU,1600.0,1052.7476320864419,541120.920102195,4.2894736842105265,4.426659662795106,1017.6637313541545,0.01883004612631382
4,OLA,RPi_fftw,CPU,1700.0,1116.1889328620418,574427.855257613,4.294736842105263,9.082925053805901,3077.1656811211787,0.020519567041702862
4,OLA,RPi_fftw,CPU,1800.0,1160.9816920319474,608086.3038705298,4.371052631578947,8.070023677728047,791.7263345024602,0.032230128194515616
4,OLA,RPi_fftw,CPU,1900.0,1187.778580652284,637866.4481249038,4.481578947368421,6.34131492802469,1681.0858757315555,0.023478640024416294
4,OLA,RPi_fftw,CPU,2000.0,1241.4323647837589,668125.5140598683,4.491363022941971,10.857519277246453,3446.471948107979,0.026212399411603724
4,OLA,RPi_fftw,CPU,2100.0,1281.3481471020239,699577.635356898,4.556410256410256,11.735925633639216,1558.0894250034703,0.036944438265287934
4,OLA,RPi_fftw,CPU,2200.0,1315.4017878065472,730729.1099621578,4.636004273504273,10.173051556220054,1660.2103002100391,0.03090891548279545
4,OLA,RPi_fftw,CPU,2300.0,1353.8855628945755,760423.8657188829,4.687179487179487,7.573436623830637,1349.6194442146762,0.02416250049105634
4,OLA,RPi_fftw,CPU,2400.0,1379.279563068201,789531.3928799188,4.776923076923077,6.70677162695769,2848.718700260694,0.012871692715908607
4,OLA,nano_clfft,GPU,306.0,695.8010008621699,806577.3865773085,9.673684210526316,3.857272503982222,3821.0262387304797,0.02804823704100007
4,OLA,nano_clfft,GPU,408.0,738.7619634659412,874526.388344055,9.878654970760236,2.5401895138009167,2460.0417953816414,0.020976959517874337
4,OLA,nano_clfft,GPU,510.0,767.5325096149764,922436.9088340519,10.029202279202279,3.24214684299226,5253.835216592059,0.026179065359962502
4,OLA,nano_clfft,GPU,612.0,780.4657269814825,951546.8796467013,10.174358974358974,4.630212581742063,4591.805956598776,0.01925639318514825
4,OLA,nano_clfft,GPU,714.0,790.5298028515117,976819.2688306425,10.311538461538463,2.916639687682203,4720.6368465101095,0.02826334318596011
4,OLA,nano_clfft,GPU,816.0,796.9694525554061,993836.2151971337,10.406410256410258,3.3969647975806847,4362.8378282214035,0.007563016001923364
4,OLA,nano_clfft,GPU,918.0,777.5761798200247,1006801.4616388105,10.805128205128206,2.666398841287023,2557.3526097731365,0.010509693093292595
4,OLA,nano_clfft,GPU,1020.0,755.0286270710577,1021802.3538059276,11.293589743589743,4.220305590561774,5541.920050629332,0.014114214302074915
