Device,algorithm_family,dev_backend,gpu_freq_mhz,mflops_per_w,throughput,run_power_w,conv_avg_ms,mflops_per_w_std,throughput_std,run_power_w_std,conv_avg_ms_std
RaspberryPiComputeModule5,OLA,RPi-clfft,650.0,1613.8950500072249,219556.68993293316,3.864035087719298,23.356476166666667,27.79505779032361,574.2953447304834,0.06945906278887426,0.06106561493481127
RaspberryPiComputeModule5,OLA,RPi-clfft,700.0,1661.7264165794143,230466.52495667242,3.9384615384615382,22.25090283333333,14.013662465663215,919.4088147424052,0.028781979898261253,0.08907778040211127
RaspberryPiComputeModule5,OLA,RPi-clfft,750.0,1740.953426365489,242559.64275685113,3.956410256410256,21.141339499999997,10.928763191157183,492.2988775434449,0.02044861747423261,0.04283165658131843
RaspberryPiComputeModule5,OLA,RPi-clfft,800.0,1821.5658094016123,253025.58278045422,3.9448717948717946,20.266886666666668,23.549248427377634,694.5974742992407,0.04702175416646542,0.055602141561874985
RaspberryPiComputeModule5,OLA,RPi-clfft,850.0,1867.982060974252,263603.6416999579,4.007692307692308,19.4535385,24.21900824502139,567.4955142173662,0.04937478934117294,0.04191379543181528
RaspberryPiComputeModule5,OLA,RPi-clfft,900.0,1910.4752388950226,273739.66118124686,4.069230769230769,18.7331745,24.298704893657828,621.8257823873216,0.05148677086363516,0.042653781814746015
RaspberryPiComputeModule5,OLA,RPi-clfft,960.0,2009.0133832936197,284580.99199583,4.023076923076923,18.019477833333333,28.90330579837247,494.5504494662021,0.05958435917242186,0.031308582001852915
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,500.0,707.1306925579212,106900.70164897064,3.7028070175438597,2.3940535,9.268431662267972,329.54774524414364,0.03851346732354322,0.007383181773463264
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,550.0,746.6719111779663,114560.57617805502,3.7576923076923077,2.2339576666666665,5.270781527791091,270.1524347322395,0.022689048005773184,0.005264337894423933
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,600.0,784.2539885178682,121359.19647033146,3.791025641025641,2.108801833333333,15.423280878216673,354.45825040069974,0.07511989102503697,0.00616241307984673
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,650.0,801.406665185229,128404.43224823738,3.924358974358974,1.9930773333333331,8.518000678140048,185.16604318198387,0.041685400127939726,0.002875378421471917
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,700.0,837.2658167456303,134846.8928469308,3.94508547008547,1.8978525,11.798117252997152,380.9735315639144,0.060917900295194095,0.005351611822619448
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,750.0,888.3060984946354,143855.58466258092,3.9679487179487176,1.7789765,20.8425973365009,158.5530251478509,0.09388607809866946,0.0019598789503435807
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,800.0,899.997527314151,150094.04693344675,4.085897435897436,1.7050258333333332,19.134193593531602,154.3972626066762,0.0872209554466903,0.0017512526278828737
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,850.0,923.8598749270105,156482.4192784079,4.148717948717949,1.6354118333333334,11.508705231292177,294.47917346935174,0.04953432057863933,0.003079216096130089
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,900.0,938.5084274865416,161713.24377886145,4.220512820512821,1.5825038333333332,12.934730948439848,597.4319112469725,0.04929483011568313,0.005826321769922061
RaspberryPiComputeModule5,UPF-OS,RPi-clfft,960.0,1002.6770337175831,167859.3078214193,4.100828157349897,1.5245680000000001,15.39934610144517,573.6560609387506,0.06493896992325471,0.005193321326473053
