,frequency_component,operating_frequency_mhz,Algorithm,test_name,Threads,variant,kernel_runtime,roi_runtime,run_power_w,energy_j,edp_j_s,kernel_runtime_std,roi_runtime_std,run_power_w_std,energy_j_std,edp_j_s_std
40,CPU,1900.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,22.139991499999997,22.140340499999997,4.495681063122924,0.09953433726616834,0.0022036893291308072,0.002325455546769157,0.0023155627177856982,0.013720568238288542,0.00030266017324374797,6.684149307736706e-06
41,CPU,1900.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,6.2982465,6.298878833333333,7.267948717948717,0.04577539452948718,0.0002883054253254657,0.007233124933249563,0.0072331297352297794,0.0531641794846506,0.0003488117887273711,2.3289699064702155e-06
42,CPU,1900.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.31606566666666663,0.31625216666666667,4.349180327868853,0.0013746256636612021,4.344719460390467e-07,0.00026721052873467435,0.0002742294051823484,0.009502542128648815,2.709389638105766e-06,9.140088629414774e-10
43,CPU,1900.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.08855266666666667,0.08870316666666667,7.718732193732194,0.0006835122258547008,6.052752932561218e-08,0.00037140795180860825,0.0003790326722944433,0.04247649710592387,4.340689640467159e-06,5.596807844670449e-10
44,CPU,1900.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,4221.7368675,4221.738646833333,4.266,18.009989753900037,76.03369651994454,1.0970323518535507,1.0970623187841404,0.07073944230809977,0.3030687906889855,1.2982004392423028
45,CPU,1900.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1057.9601648333335,1057.9619173333333,7.885863095238096,8.3429628677686,8.826567965930186,1.218616701986769,1.218592404207773,0.05439960054187582,0.06389574125725951,0.07510423005326385
46,CPU,1900.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,16.450301166666666,16.4507725,9.006410256410257,0.1481584412948718,0.002437259365038569,0.022442273257553207,0.022443254886491213,0.0582621430909836,0.0010292721584752003,1.862252853078759e-05
47,CPU,1900.0,SPMV,SPMV-serial-PI,1.0,Serial,39.03587016666666,39.03614216666667,5.2026315789473685,0.20308993035526315,0.007929724600183196,0.6629386534020832,0.6629366329206479,0.002882750302658575,0.00349943248276538,0.00027337122709190204
48,CPU,1900.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,51.21664616666667,51.21812916666667,4.870782726045884,0.2494536275762483,0.012776143418263561,0.3710122054981022,0.3709809651286261,0.04329328079718308,0.0011341567907485449,0.00010423005093512458
49,CPU,1900.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,43.998428,43.9999025,7.059523809523809,0.3106086173428571,0.013666486328061002,0.16794939159044378,0.16793557580304444,0.010753895038701139,0.0014594027642440574,0.00011528224780349731
50,CPU,2000.0,BFS,BFS-OpenMP-PI-serial,1.0,Serial,21.036903833333334,21.037238666666667,4.572729789590254,0.09619607211348284,0.002023667441928494,0.0024646849223929736,0.0024729258514287022,0.007486824788234827,0.00015440550400496104,3.1994202199561172e-06
51,CPU,2000.0,BFS,BFS-OpenMP-PI-t4,4.0,OpenMP,6.342768166666667,6.3434235,7.262820512820514,0.04606614271410256,0.0002921860248043154,0.0108334896763079,0.01084406371707543,0.0629485873934624,0.00037195130791310525,2.2835407921224106e-06
52,CPU,2000.0,FFT,FFT-OpenMP-PI-serial-32k,1.0,Serial,0.30104033333333335,0.30121400000000004,4.450168902136116,0.0013396949737257827,4.033168105249932e-07,0.0016536353487594223,0.0016446463449629294,0.014885657915447546,1.1045808228040924e-05,5.509568550914816e-09
53,CPU,2000.0,FFT,FFT-OpenMP-PI-t4-32k,4.0,OpenMP,0.085628,0.08577466666666667,7.946153846153847,0.0006804150987179488,5.826342736741923e-08,0.0003218825872892177,0.00032287747934265363,0.027947541730130265,3.905569574579274e-06,5.268581233690077e-10
54,CPU,2000.0,KMeans,KMeans-OpenMP-PI-t1,1.0,Serial,4015.9038266666666,4015.9054565,4.3052631578947365,17.2895137743193,69.4329911077432,0.8813036656252997,0.881396150845775,0.028048237040998146,0.11104195896780271,0.43995578878351754
55,CPU,2000.0,KMeans,KMeans-OpenMP-PI-t4,4.0,OpenMP,1006.257003,1006.2586846666667,8.016666666666667,8.066827613366666,8.117302807133095,0.24057671768153024,0.240481480098319,0.040824829046386374,0.04127679193168254,0.041821445246843475
56,CPU,2000.0,SPMV,SPMV-OpenMP-PI,4.0,OpenMP,16.964700333333333,16.965125833333335,9.047435897435896,0.1534873101551282,0.0026038733039180687,0.018103237574164637,0.01810085694564319,0.039945722543306764,0.0007660580341735919,1.4873697842909133e-05
57,CPU,2000.0,SPMV,SPMV-serial-PI,1.0,Serial,38.218768000000004,38.219024,5.266666666666667,0.20127077204210528,0.007694187242254892,0.743533191644059,0.7435293063044675,0.026768043681067326,0.0030493958087436245,0.00026451420771385505
58,CPU,2000.0,SRAD,SRAD-OpenMP-PI-serial-small,1.0,Serial,49.656988000000005,49.658445666666665,4.947435897435898,0.24568235942820515,0.012202164291161102,0.6856399868846625,0.6856414682078861,0.03718390778317421,0.004413178260234965,0.000380074579250219
59,CPU,2000.0,SRAD,SRAD-OpenMP-PI-t4-small,4.0,OpenMP,43.918323166666674,43.919882,7.078571428571428,0.31087716647619046,0.013653317926476135,0.18142413115615727,0.18143623224482963,0.01969149821727154,0.0010177336785634908,9.444558406204116e-05
