run_dir,Platform,Device,Algorithm,Threads,Backend,Banks,Channels,arm_freq,gpu_freq,dmc_freq_max,policy4_freq_min,cpu_freq,policy6_freq,core_freq_min,over_voltage_min,cpu_freq_max,governor,policy0_freq_min,policy0_freq,policy0_freq_max,Device,v3d_freq_min,policy6_freq_max,dmc_freq_min,Config_Name,v3d_freq,policy4_freq,Config_ID,cpu_freq_min,TestName,arm_freq_min,cpu_governor,policy4_freq_max,core_freq,over_voltage,dmc_freq,Governor,dmc_governor,gpu_freq_max,policy6_freq_min,cores_online,gpu_freq_min,emc_max_freq,gpu_governor,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min500\run6,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,500,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2241.398597,44828.000436,,,3.881666666666667,3.7795918367346935
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2069.609418,41392.213512,,,3.3966666666666665,3.771428571428571
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2067.504181,41350.11142,,,3.8483333333333336,3.7906976744186047
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2068.922352,41378.475512,,,3.82,3.795348837209302
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run4,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2068.357594,41367.179956,,,3.4,3.771428571428571
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run5,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2069.220353,41384.433734,,,3.8616666666666664,3.806122448979592
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min550\run6,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,550,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,2071.384654,41427.721568,,,3.8733333333333335,3.704081632653061
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run1,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1932.414354,38648.3152,,,3.8449999999999998,3.802325581395349
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run2,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1921.217567,38424.379273,,,3.828333333333333,3.802325581395349
bench_logs\overlap_add_one-shot_tests\2026-03-12\clvk_v3d_freq_powersave\GPU_test_1_arm_freq_min1200_core_freq_min500_v3d_freq_min600\run3,clvk,RaspberryPiComputeModule5,,,clola,,1,0,0,0,0,0,0,500,0,0,0,0,0,0,RaspberryPiComputeModule5,600,0,0,0,0,0,0,0,clvk_arm_freq_powersave,1200,0,0,0,0,0,powersave,0,0,0,0,0,0,0,1933.444765,38668.920403,,,3.86,3.8046511627906976
