run_dir,Platform,Device,Algorithm,Threads,Signal_Length,Filter_Length,Backend,N_FFT,Banks,Channels,policy6_freq,core_freq_min,Config_ID,Config_Name,policy0_freq_max,Governor,gpu_freq,v3d_freq_min,policy6_freq_min,policy0_freq_min,over_voltage,cpu_freq_max,cpu_freq,Device,over_voltage_min,dmc_freq_min,policy4_freq_min,policy0_freq,dmc_freq,gpu_governor,TestName,dmc_freq_max,gpu_freq_max,policy4_freq_max,cpu_governor,arm_freq_min,policy4_freq,policy6_freq_max,cores_online,v3d_freq,governor,arm_freq,emc_max_freq,dmc_governor,gpu_freq_min,cpu_freq_min,core_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,70376.57845,98.585306,118.360431,1.7466666666666666,4.928571428571429
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69345.561574,98.778571,118.518267,1.76,4.923809523809524
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69501.463533,100.671883,120.521269,1.76,4.928571428571429
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq800000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,800000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69352.367908,100.51955,120.380412,1.7666666666666666,4.923809523809524
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75583.069369,134.775525,154.624327,1.7333333333333334,4.321875
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,77900.166204,135.336349,155.034003,1.7266666666666666,4.26875
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,76269.78337,134.620187,154.422892,1.7266666666666666,4.290625
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq300000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,300000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,76797.570828,134.860423,154.862215,1.7333333333333334,4.290625
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,70950.773868,94.658577,114.541063,1.7466666666666666,5.119047619047619
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,75959.956952,94.834587,114.550879,1.7533333333333334,5.15925925925926
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,76217.967912,96.391285,116.056962,1.7533333333333334,5.15925925925926
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq900000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,900000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69649.683575,93.098638,112.743627,1.76,5.119047619047619
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run4,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69932.829783,107.054756,126.763373,1.76,4.714814814814814
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run2,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69510.285574,106.023282,125.638354,1.7533333333333334,4.733333333333333
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run1,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,70248.342242,107.068334,126.750194,1.76,4.738095238095238
bench_logs/edge-suite/Orange_Pi_5/2026-06-27/SPMV-OpenCL-OPI/policy0_freq1800000_policy4_freq2256000_policy6_freq2256000_gpu_freq600000000/run3,OpenCL,OrangePi5Ultra,SPMV,,,,,,,,2256000,0,0,0,0,performance,600000000,0,0,0,0,0,0,OrangePi5Ultra,0,0,0,1800000,0,performance,SPMV-OpenCL-OPI,0,0,0,performance,0,2256000,0,0,0,0,0,0,dmc_ondemand,0,0,0,,69555.333491,105.644189,125.278106,1.7533333333333334,4.738095238095238
